variant,binary,version,dataset,run_index,seed,population,islands,generations,mutation_rate,elite_count,reported_length,cuda_elapsed_ms,generations_completed,target_reached,best_tour_path,status,notes
cuda_ga_b4_global,build/CUDA-GA-B4-global,cuda_ga_b4_global,data/berlin52.tsp,18,117,NA,256,2000,0.03,2,9406,247.616,NA,NA,16 18 44 9 8 7 40 2 30 31 48 35 33 34 38 36 37 39 4 14 5 23 47 46 25 26 27 12 13 51 10 50 11 32 42 3 24 45 43 15 0 21 17 20 29 28 19 49 22 41 1 6 16,ok,
cuda_ga_b5_bigpop,build/CUDA-GA-B5-bigpop,cuda_ga_b5_bigpop,data/berlin52.tsp,18,117,NA,256,2000,0.03,2,7542,7486.61,NA,NA,5 14 4 23 47 37 36 39 38 35 34 33 43 45 15 28 49 19 22 29 1 6 41 20 16 2 17 30 21 0 48 31 44 18 40 7 8 9 42 32 50 10 51 13 12 46 25 26 27 11 24 3 5,ok,
cuda_ga_c1_stride,build/CUDA-GA-C1-stride,cuda_ga_c1_stride,data/berlin52.tsp,18,117,NA,256,2000,0.03,2,7992,263.397,NA,NA,43 15 45 47 23 37 4 14 5 3 24 11 27 25 46 26 12 13 51 10 50 32 42 9 8 7 40 18 44 31 48 21 30 17 2 16 20 41 1 6 29 28 49 19 22 0 36 39 38 35 34 33 43,ok,
cuda_ga_c2_bitmask,build/CUDA-GA-C2-bitmask,cuda_ga_c2_bitmask,data/berlin52.tsp,18,117,NA,256,2000,0.03,2,7992,246.924,NA,NA,43 15 45 47 23 37 4 14 5 3 24 11 27 25 46 26 12 13 51 10 50 32 42 9 8 7 40 18 44 31 48 21 30 17 2 16 20 41 1 6 29 28 49 19 22 0 36 39 38 35 34 33 43,ok,
cuda_ga_c3_reduce,build/CUDA-GA-C3-reduce,cuda_ga_c3_reduce,data/berlin52.tsp,18,117,NA,256,2000,0.03,2,7992,246.304,NA,NA,43 15 45 47 23 37 4 14 5 3 24 11 27 25 46 26 12 13 51 10 50 32 42 9 8 7 40 18 44 31 48 21 30 17 2 16 20 41 1 6 29 28 49 19 22 0 36 39 38 35 34 33 43,ok,
cuda_ga_c4_global,build/CUDA-GA-C4-global,cuda_ga_c4_global,data/berlin52.tsp,18,117,NA,256,2000,0.03,2,7992,247.96,NA,NA,43 15 45 47 23 37 4 14 5 3 24 11 27 25 46 26 12 13 51 10 50 32 42 9 8 7 40 18 44 31 48 21 30 17 2 16 20 41 1 6 29 28 49 19 22 0 36 39 38 35 34 33 43,ok,
cuda_ga_c5_bigpop,build/CUDA-GA-C5-bigpop,cuda_ga_c5_bigpop,data/berlin52.tsp,18,117,NA,256,2000,0.03,2,7542,7526.79,NA,NA,13 51 10 50 32 42 9 8 7 40 18 44 31 48 0 21 30 17 2 16 20 41 6 1 29 22 19 49 28 15 45 43 33 34 35 38 39 36 37 47 23 4 14 5 3 24 11 27 26 25 46 12 13,ok,
cuda_ga_b4_smem,build/CUDA-GA-B4-smem,GPU-Pop B1+B2+B3-shuffle+B4-smem,data/berlin52.tsp,18,117,NA,256,2000,0.03,2,9406,317.43,NA,NA,16 18 44 9 8 7 40 2 30 31 48 35 33 34 38 36 37 39 4 14 5 23 47 46 25 26 27 12 13 51 10 50 11 32 42 3 24 45 43 15 0 21 17 20 29 28 19 49 22 41 1 6 16,ok,
gpu_naive,build/GPU-Naive,gpu_naive,data/berlin52.tsp,19,118,NA,NA,NA,NA,NA,8181,0.130162,NA,NA,39 37 36 38 35 34 33 43 45 47 23 4 14 5 3 24 11 27 26 25 46 12 13 51 10 50 32 42 9 8 7 40 18 44 31 48 0 21 30 17 2 16 20 22 19 49 15 28 29 41 6 1 39,ok,
cuda_ga,build/CUDA-GA,cuda_ga,data/berlin52.tsp,19,118,512,NA,2000,0.03,4,7640,875.321,NA,NA,17 2 16 20 41 6 1 29 22 19 49 28 15 43 45 37 39 38 35 34 33 36 47 23 4 14 5 3 24 11 27 26 25 46 12 13 51 10 50 32 42 9 8 7 40 18 44 31 48 0 21 30 17,ok,
cuda_ga_no_greedy,build/CUDA-GA-no-greedy,cuda_ga_no_greedy,data/berlin52.tsp,19,118,512,NA,2000,0.03,4,8147,894.419,NA,NA,46 12 13 51 10 50 32 42 9 8 7 40 18 44 31 30 20 41 6 1 29 22 19 49 28 15 45 43 33 34 35 38 48 0 21 17 16 2 39 36 37 47 23 4 14 5 3 24 11 27 26 25 46,ok,
cuda_ga_gpu_pop,build/CUDA-GA-GPU-Pop,GPU-Pop Control,data/berlin52.tsp,19,118,NA,256,2000,0.03,2,8929,333.65,2000,no,48 43 28 29 1 6 41 16 17 2 40 8 9 7 18 44 31 33 35 34 38 39 4 14 42 32 50 10 25 46 13 51 12 26 27 11 3 24 5 23 37 36 47 45 15 49 19 22 20 30 21 0 48,ok,
cuda_ga_gpu_pop_bankconflict,build/CUDA-GA-GPU-Pop-bankconflict,GPU-Pop Bank-Conflict Variant,data/berlin52.tsp,19,118,NA,256,2000,0.03,2,8929,329.059,2000,no,48 43 28 29 1 6 41 16 17 2 40 8 9 7 18 44 31 33 35 34 38 39 4 14 42 32 50 10 25 46 13 51 12 26 27 11 3 24 5 23 37 36 47 45 15 49 19 22 20 30 21 0 48,ok,
cuda_ga_gpu_pop_bitset,build/CUDA-GA-GPU-Pop-bitset,GPU-Pop Bitset Variant,data/berlin52.tsp,19,118,NA,256,2000,0.03,2,8929,283.906,2000,no,48 43 28 29 1 6 41 16 17 2 40 8 9 7 18 44 31 33 35 34 38 39 4 14 42 32 50 10 25 46 13 51 12 26 27 11 3 24 5 23 37 36 47 45 15 49 19 22 20 30 21 0 48,ok,
cuda_ga_gpu_pop_parallel_sort,build/GA-GPU-POP-ParallelSort,GA-GPU-POP-ParallelSort,data/berlin52.tsp,19,118,NA,256,2000,0.03,2,9217,262.62,NA,NA,35 34 36 39 37 14 4 5 3 8 9 7 40 18 44 33 43 19 49 28 29 1 6 41 16 20 30 22 15 45 47 23 24 11 27 25 26 46 13 12 51 10 50 32 42 38 0 21 17 2 31 48 35,ok,
cuda_ga_gpu_pop_aos,build/GA-GPU-POP-AoS,GA-GPU-POP-AoS,data/berlin52.tsp,19,118,NA,256,2000,0.03,2,8929,824.612,NA,NA,48 43 28 29 1 6 41 16 17 2 40 8 9 7 18 44 31 33 35 34 38 39 4 14 42 32 50 10 25 46 13 51 12 26 27 11 3 24 5 23 37 36 47 45 15 49 19 22 20 30 21 0 48,ok,
cuda_ga_gpu_pop_global_dist,build/GA-GPU-POP-GlobalDist,GA-GPU-POP-GlobalDist,data/berlin52.tsp,19,118,NA,256,2000,0.03,2,8929,279.873,2000,no,48 43 28 29 1 6 41 16 17 2 40 8 9 7 18 44 31 33 35 34 38 39 4 14 42 32 50 10 25 46 13 51 12 26 27 11 3 24 5 23 37 36 47 45 15 49 19 22 20 30 21 0 48,ok,
cuda_ga_gpu_pop_verbose_comments,build/GA-GPU-POP-VerboseComments,GA-GPU-POP-VerboseComments,data/berlin52.tsp,19,118,NA,256,2000,0.03,2,8929,418.964,NA,NA,48 43 28 29 1 6 41 16 17 2 40 8 9 7 18 44 31 33 35 34 38 39 4 14 42 32 50 10 25 46 13 51 12 26 27 11 3 24 5 23 37 36 47 45 15 49 19 22 20 30 21 0 48,ok,
